"301442655597101056, 'Music Channel', 'CloakDagger', 'voice'"
"338730030303543297, 'music_bot', 'CloakDagger', 'text'"
"392726750326685697, 'music', 'SebisandAggsBotTutorial', 'text'"
"392726800750346251, 'music', 'SebisandAggsBotTutorial', 'voice'"
"312359309738639360, 'music', 'Cancertreatmenthospitalward', 'text'"
"309090268869689352, 'music', 'ED', 'text'"
"342738156891930625, 'Botzilla music', 'ED', 'voice'"
"370275342620950549, 'Porn + Music', 'NibbaGatheringPlace', '4'"
"346232552874311680, 'Music', 'Buddies', 'voice'"
"346232736614187010, 'music', 'Buddies', 'text'"
"357605592979734531, 'music', 'Funnyguysskyt', 'text'"
"357605617671733250, 'Music', 'Funnyguysskyt', 'voice'"
"362628422935117844, 'music', 'TrueComrades', 'text'"